"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"BE242_24055","T","TOTAL","2011","19158","",""
"BE242_24059","T","TOTAL","2011","15462","",""
"BE242_24062","T","TOTAL","2011","97270","",""
"BE242_24066","T","TOTAL","2011","13889","",""
"BE242_24086","T","TOTAL","2011","11012","",""
"BE242_24094","T","TOTAL","2011","15768","",""
"BE242_24104","T","TOTAL","2011","21238","",""
"BE242_24107","T","TOTAL","2011","32799","",""
"BE242_24109","T","TOTAL","2011","14606","",""
"BE242_24130","T","TOTAL","2011","8246","",""
"BE242_24133","T","TOTAL","2011","7100","",""
"BE242_24134","T","TOTAL","2011","22611","",""
"BE242_24135","T","TOTAL","2011","10438","",""
"BE242_24137","T","TOTAL","2011","5312","",""
"BE25","T","TOTAL","2011","1168002","",""
"BE251","T","TOTAL","2011","277889","",""
"BE251_31003","T","TOTAL","2011","15231","",""
"BE251_31004","T","TOTAL","2011","19114","",""
"BE251_31005","T","TOTAL","2011","117260","",""
"BE251_31006","T","TOTAL","2011","10845","",""
"BE251_31012","T","TOTAL","2011","13710","",""
"BE251_31022","T","TOTAL","2011","22560","",""
"BE251_31033","T","TOTAL","2011","19993","",""
"BE251_31040","T","TOTAL","2011","22375","",""
"BE251_31042","T","TOTAL","2011","2767","",""
"BE251_31043","T","TOTAL","2011","34034","",""
"BE252","T","TOTAL","2011","50029","",""
"BE252_32003","T","TOTAL","2011","16403","",""
"BE252_32006","T","TOTAL","2011","9652","",""
"BE252_32010","T","TOTAL","2011","8467","",""
"BE252_32011","T","TOTAL","2011","12187","",""
"BE252_32030","T","TOTAL","2011","3320","",""
"BE253","T","TOTAL","2011","106449","",""
"BE253_33011","T","TOTAL","2011","35218","",""
"BE253_33016","T","TOTAL","2011","945","",""
"BE253_33021","T","TOTAL","2011","20010","",""
"BE253_33029","T","TOTAL","2011","18278","",""
"BE253_33037","T","TOTAL","2011","12317","",""
"BE253_33039","T","TOTAL","2011","8003","",""
"BE253_33040","T","TOTAL","2011","7962","",""
"BE253_33041","T","TOTAL","2011","3716","",""
"BE254","T","TOTAL","2011","283019","",""
"BE254_34002","T","TOTAL","2011","14345","",""
"BE254_34003","T","TOTAL","2011","9671","",""
"BE254_34009","T","TOTAL","2011","11314","",""
"BE254_34013","T","TOTAL","2011","26819","",""
"BE254_34022","T","TOTAL","2011","75223","",""
"BE254_34023","T","TOTAL","2011","12986","",""
"BE254_34025","T","TOTAL","2011","5653","",""
"BE254_34027","T","TOTAL","2011","32964","",""
"BE254_34040","T","TOTAL","2011","36658","",""
"BE254_34041","T","TOTAL","2011","31121","",""
"BE254_34042","T","TOTAL","2011","24139","",""
"BE254_34043","T","TOTAL","2011","2126","",""
"BE255","T","TOTAL","2011","152571","",""
"BE255_35002","T","TOTAL","2011","16411","",""
"BE255_35005","T","TOTAL","2011","11806","",""
"BE255_35006","T","TOTAL","2011","13878","",""
"BE255_35011","T","TOTAL","2011","18902","",""
"BE255_35013","T","TOTAL","2011","69980","",""
"BE255_35014","T","TOTAL","2011","9061","",""
"BE255_35029","T","TOTAL","2011","12533","",""
"BE256","T","TOTAL","2011","146429","",""
"BE256_36006","T","TOTAL","2011","9971","",""
"BE256_36007","T","TOTAL","2011","10752","",""
"BE256_36008","T","TOTAL","2011","27299","",""
"BE256_36010","T","TOTAL","2011","9603","",""
"BE256_36011","T","TOTAL","2011","8502","",""
"BE256_36012","T","TOTAL","2011","10870","",""
"BE256_36015","T","TOTAL","2011","58452","",""
"BE256_36019","T","TOTAL","2011","10980","",""
"BE257","T","TOTAL","2011","90947","",""
"BE257_37002","T","TOTAL","2011","8311","",""
"BE257_37007","T","TOTAL","2011","11100","",""
"BE257_37010","T","TOTAL","2011","7546","",""
"BE257_37011","T","TOTAL","2011","6732","",""
"BE257_37012","T","TOTAL","2011","5214","",""
"BE257_37015","T","TOTAL","2011","19779","",""
"BE257_37017","T","TOTAL","2011","9177","",""
"BE257_37018","T","TOTAL","2011","14016","",""
"BE257_37020","T","TOTAL","2011","9072","",""
"BE258","T","TOTAL","2011","60669","",""
"BE258_38002","T","TOTAL","2011","4958","",""
"BE258_38008","T","TOTAL","2011","10748","",""
"BE258_38014","T","TOTAL","2011","21994","",""
"BE258_38016","T","TOTAL","2011","11398","",""
"BE258_38025","T","TOTAL","2011","11571","",""
"BE3","T","TOTAL","2011","3538120","",""
"BE31","T","TOTAL","2011","383648","",""
"BE310","T","TOTAL","2011","383648","",""
"BE310_25005","T","TOTAL","2011","6742","",""
"BE310_25014","T","TOTAL","2011","38572","",""
"BE310_25015","T","TOTAL","2011","9843","",""
"BE310_25018","T","TOTAL","2011","11491","",""
"BE310_25023","T","TOTAL","2011","9948","",""
"BE310_25031","T","TOTAL","2011","14913","",""
"BE310_25037","T","TOTAL","2011","12774","",""
"BE310_25043","T","TOTAL","2011","4864","",""
"BE310_25044","T","TOTAL","2011","6460","",""
"BE310_25048","T","TOTAL","2011","13431","",""
"BE310_25050","T","TOTAL","2011","7479","",""
"BE310_25068","T","TOTAL","2011","6896","",""
"BE310_25072","T","TOTAL","2011","26445","",""
"BE310_25084","T","TOTAL","2011","8104","",""
"BE310_25091","T","TOTAL","2011","22016","",""
"BE310_25105","T","TOTAL","2011","23857","",""
"BE310_25107","T","TOTAL","2011","10164","",""
"BE310_25110","T","TOTAL","2011","29699","",""
"BE310_25112","T","TOTAL","2011","33167","",""
"BE310_25117","T","TOTAL","2011","6986","",""
"BE310_25118","T","TOTAL","2011","3213","",""
"BE310_25119","T","TOTAL","2011","14079","",""
"BE310_25120","T","TOTAL","2011","8267","",""
"BE310_25121","T","TOTAL","2011","31040","",""
"BE310_25122","T","TOTAL","2011","6162","",""
"BE310_25123","T","TOTAL","2011","10593","",""
"BE310_25124","T","TOTAL","2011","6443","",""
"BE32","T","TOTAL","2011","1319745","",""
"BE321","T","TOTAL","2011","84571","",""
"BE321_51004","T","TOTAL","2011","28332","",""
"BE321_51008","T","TOTAL","2011","13761","",""
"BE321_51009","T","TOTAL","2011","11729","",""
"BE321_51012","T","TOTAL","2011","3490","",""
"BE321_51014","T","TOTAL","2011","6625","",""
"BE321_51017","T","TOTAL","2011","5877","",""
"BE321_51019","T","TOTAL","2011","3410","",""
"BE321_51065","T","TOTAL","2011","11347","",""
"BE322","T","TOTAL","2011","428231","",""
"BE322_52010","T","TOTAL","2011","14433","",""
"BE322_52011","T","TOTAL","2011","204150","",""
"BE322_52012","T","TOTAL","2011","36093","",""
"BE322_52015","T","TOTAL","2011","30367","",""
"BE322_52018","T","TOTAL","2011","11045","",""
"BE322_52021","T","TOTAL","2011","22604","",""
"BE322_52022","T","TOTAL","2011","17180","",""
"BE322_52025","T","TOTAL","2011","12230","",""
"BE322_52043","T","TOTAL","2011","22466","",""
"BE322_52048","T","TOTAL","2011","10151","",""
"BE322_52055","T","TOTAL","2011","16842","",""
"BE322_52063","T","TOTAL","2011","10918","",""
"BE322_52074","T","TOTAL","2011","10650","",""
"BE322_52075","T","TOTAL","2011","9102","",""
"BE323","T","TOTAL","2011","253751","",""
"BE323_53014","T","TOTAL","2011","20105","",""
"BE323_53020","T","TOTAL","2011","16943","",""
"BE323_53028","T","TOTAL","2011","21189","",""
